"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",https://p0.meituan.net/movie/2bbaa395c825920fac397706369746e4300686.jpg@160w_220h_1e_1c,17,9.2,1998-10-28(意大利),海上钢琴师
"基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩",https://p1.meituan.net/movie/ad974d3527879f00be2eec29135118163728582.jpg@160w_220h_1e_1c,18,9.0,2000-01-14,黑客帝国
"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",https://p1.meituan.net/movie/aacb9ed2a6601bfe515ef0970add1715623792.jpg@160w_220h_1e_1c,19,9.1,2002-01-26,哈利·波特与魔法石
"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",https://p0.meituan.net/movie/932bdfbef5be3543e6b136246aeb99b8123736.jpg@160w_220h_1e_1c,20,9.2,2004-03-15,指环王3：王者无敌
"克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",https://p0.meituan.net/movie/09658109acfea0e248a63932337d8e6a4268980.jpg@160w_220h_1e_1c,21,9.3,2008-07-18(美国),蝙蝠侠：黑暗骑士
"刘德华,梁朝伟,黄秋生",https://p0.meituan.net/movie/606de8f394d40dbcbb9b87943fec71a2130408.jpg@160w_220h_1e_1c,22,9.1,2003-09-05,无间道
"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",https://p0.meituan.net/movie/8959888ee0c399b0fe53a714bc8a5a17460048.jpg@160w_220h_1e_1c,23,8.9,1998-06-01(美国),楚门的世界
"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",https://p0.meituan.net/movie/b05b94b28eca53f325ae8d807fcd4ce01798036.jpg@160w_220h_1e_1c,24,8.9,2003-11-21,加勒比海盗
"张国荣,梁朝伟,张学友",https://p1.meituan.net/movie/53b6f0b66882a53b08896c92076515a8236400.jpg@160w_220h_1e_1c,25,8.9,1993-02-05(中国香港),射雕英雄传之东成西就
"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",https://p0.meituan.net/movie/bb1dee5e0b25889a2410211c1d5010ae190824.jpg@160w_220h_1e_1c,26,9.0,1974-12-12(美国),教父2
"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",https://p0.meituan.net/movie/267dd2483f0fb57081474c00fbea38451415571.jpg@160w_220h_1e_1c,27,9.3,2008-06-27(美国),机器人总动员
"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",https://p1.meituan.net/movie/dd08154878aac7c8c649fe3eeb8ccd0a2498277.jpg@160w_220h_1e_1c,28,9.0,2002-04-04,指环王1：护戒使者
"伊莱贾·伍德,伊恩·麦克莱恩,丽芙·泰勒",https://p0.meituan.net/movie/02bb9fd161c05bad6089133098efcdb5546589.jpg@160w_220h_1e_1c,29,9.1,2003-04-25,指环王2：双塔奇兵
"马修·布罗德里克,尼基塔·卡兰姆,詹姆斯·厄尔·琼斯",https://p0.meituan.net/movie/27b76fe6cf3903f3d74963f70786001e1438406.jpg@160w_220h_1e_1c,30,8.8,1995-07-15,狮子王
"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",https://p1.meituan.net/movie/8d7b0b902afd4ec1a3dd7a9c6149463c187734.jpg@160w_220h_1e_1c,51,8.8,1992-12-23(美国),闻香识女人
"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",https://p0.meituan.net/movie/47dd790e19dad72b50580641de5608c5199014.jpg@160w_220h_1e_1c,52,8.9,2009-08-04,飞屋环游记
"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",https://p0.meituan.net/movie/15f1ac49b6d1ff7b71207672993ed6901536456.jpg@160w_220h_1e_1c,53,8.9,2010-08-06(美国),怦然心动
"阿米尔·汗,黄渤,卡琳娜·卡普",https://p1.meituan.net/movie/ca4a128a5a54d5b5e35ceba622636c831810197.jpg@160w_220h_1e_1c,54,9.1,2011-12-08,三傻大闹宝莱坞
"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",https://p0.meituan.net/movie/e71affe126eeb4f8bfcc738cbddeebc8288766.jpg@160w_220h_1e_1c,55,9.0,2006-01-13(美国),断背山
"基努·里维斯,雨果·维文,凯瑞-安·莫斯",https://p0.meituan.net/movie/2e383b5f5f306f10f9f26d9f1c28cf1d825537.jpg@160w_220h_1e_1c,56,8.8,2003-11-05,黑客帝国3：矩阵革命
"尊龙,陈冲,彼得·奥图尔",https://p1.meituan.net/movie/21b9211eb1094af360842472018db634286646.jpg@160w_220h_1e_1c,57,8.8,1987-10-23,末代皇帝
"苏拉·沙玛,伊尔凡·可汗,塔布",https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@160w_220h_1e_1c,58,9.1,2012-11-22,少年派的奇幻漂流
"姜文,姜宏波,陈强",https://p1.meituan.net/movie/0b507aa44c4dfbbcc91949b69b1b39a168922.jpg@160w_220h_1e_1c,59,8.9,2000-05-12(法国戛纳),鬼子来了
"周星驰,莫文蔚,吴孟达",https://p0.meituan.net/movie/92eb862c42c49f8e41e459c369c4512b226610.jpg@160w_220h_1e_1c,60,9.6,2014-10-24,大话西游之月光宝盒
"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",https://p1.meituan.net/movie/75c0d3eb584be030a01f2e26741a8f41251454.jpg@160w_220h_1e_1c,61,8.8,2006-10-20(美国),致命魔术
"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",https://p1.meituan.net/movie/96bb58f3e9d213fb0438987d16d27561379209.jpg@160w_220h_1e_1c,62,8.9,2012-08-27,蝙蝠侠：黑暗骑士崛起
"罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",https://p0.meituan.net/movie/7b7d1f8aa36d7a15463ce6942708a1a7265296.jpg@160w_220h_1e_1c,63,8.8,2001-12-21(美国),美丽心灵
"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",https://p0.meituan.net/movie/fcc17667b8343131101eeb4c67d90bf9150883.jpg@160w_220h_1e_1c,64,9.1,2012-11-06,无敌破坏王
"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",https://p1.meituan.net/movie/bb0eca029cd25329776a4549b3fbe262924727.jpg@160w_220h_1e_1c,65,9.0,2011-08-04,哈利·波特与死亡圣器（下）
"张国荣,王祖贤,午马",https://p1.meituan.net/movie/96d98200d2afb4b87ff189f9c15b6545568339.jpg@160w_220h_1e_1c,66,9.2,2011-04-30,倩女幽魂
"汤姆·克鲁斯,布拉德·皮特,克尔斯滕·邓斯特",https://p0.meituan.net/movie/7ec873ba943f13e3c63789d899bd0e23256871.jpg@160w_220h_1e_1c,67,8.8,1994-11-11(美国),夜访吸血鬼
"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",https://p1.meituan.net/movie/484171372de45945e8bbbcc97db57e09136701.jpg@160w_220h_1e_1c,68,8.8,2002-09-25(法国),钢琴家
"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",https://p0.meituan.net/movie/2526f77c650bf7cf3d5ee2dccdeac332244951.jpg@160w_220h_1e_1c,69,8.8,2008-12-25(美国),本杰明·巴顿奇事
"黎明,张曼玉,曾志伟",https://p1.meituan.net/movie/0b0d45b58946078dd24d4945dd6be3b51329411.jpg@160w_220h_1e_1c,70,9.2,2015-02-13,甜蜜蜜
"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",https://p0.meituan.net/movie/b3defc07dfaa1b6f5b74852ce38a3f8f242792.jpg@160w_220h_1e_1c,41,8.8,1999-10-15(美国),搏击俱乐部
"岛本须美,永井一郎,坂本千夏",https://p0.meituan.net/movie/4f9638ba234c3fb673f23a09968db875371576.jpg@160w_220h_1e_1c,42,8.9,1992,风之谷
"亨利·方达,李·科布,马丁·鲍尔萨姆",https://p0.meituan.net/movie/df15efd261060d3094a73ef679888d4f238149.jpg@160w_220h_1e_1c,43,9.1,1957-04-13(美国),十二怒汉
"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",https://p1.meituan.net/movie/06ec3c1c647942b1e40bca84036014e9490863.jpg@160w_220h_1e_1c,44,8.8,2006-03-17(美国),V字仇杀队
"威尔·史密斯,贾登·史密斯,坦迪·牛顿",https://p1.meituan.net/movie/5896de3c1474277730e321c9b1db04a9205644.jpg@160w_220h_1e_1c,45,8.9,2008-01-17,当幸福来敲门
"范·迪塞尔,保罗·沃克,道恩·强森",https://p0.meituan.net/movie/845ce32778a1b3f258de089f91a3979b5766154.jpg@160w_220h_1e_1c,46,9.2,2011-05-12,速度与激情5
"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",https://p0.meituan.net/movie/b0d97e4158b47d653d7a81d66f7dd3092146907.jpg@160w_220h_1e_1c,47,9.0,2010-05-14,驯龙高手
