restaurant_id,restaurant_name,restaurant_type
E9988341000128339204,闫记拉面,"['其他快餐', '川湘菜']"
E17618965242588438341,西大街陈记酸辣粉(宝龙店),['酸辣粉']
E10286447992554152327,海底捞小火锅（宝龙广场店）,"['川渝火锅', '其他香锅火锅']"
E14702425650046447563,宁哥家黄焖鸡米饭,"['黄焖鸡米饭', '其他快餐']"
E12901780415168057662,饮香阁豆腐汤牛肉汤(宝龙店),"['牛肉汤', '其他快餐']"
E17395358600884201871,沪上人家快餐,"['江浙菜', '淮扬菜']"
E5385668002746662955,方燕烤猪蹄,['其他小吃']
E11452814769324443295,德州汉堡(牧野路店),['汉堡薯条']
E9041339933332776222,同德品味居,"['盖浇饭', '其他快餐']"
E4626583113237062989,洛阳马坡烧烤(新乡店),['烧烤']
E6692704011560345109,外婆的饭,"['私房菜', '川湘菜']"
E8888994490655869687,爱尚花甲（大学城店）,['花甲']
E858761404055508052,西部大盘鸡(新延路店),"['黄焖鸡米饭', '新疆菜']"
E4708053815074869047,咪咻家小龙虾,['小龙虾']
E16902506799874592479,沙县小吃,['沙县小吃']
E12143081734796810168,重庆酸辣粉锡纸花甲,"['米粉米线', '花甲']"
E3136477576806785179,油炸烧饼布袋馍口福饼(大学城店),"['烧饼', '炸鸡炸串']"
E5914582695251460053,保兴手工面家常菜,['其他快餐']
E17173823006621716175,食鱼遇卿五谷渔粉,['米粉米线']
E1359868408279554722,高原红食府,['西北菜']
E426328924195894967,Hello披萨(丰华街店),"['披萨', '其他快餐']"
E11691234988867025218,哆哆客汉堡(万达广场店),['汉堡薯条']
E16724204086429495486,经济小食堂,"['盖浇饭', '川湘菜']"
E7699767454182074248,喜唐精致水饺（高新店）,"['饺子', '其他小吃']"
E17222953394967715824,伊清面馆,['其他快餐']
E2846919466211171425,三毛桶子鸡郏县饸饹面,"['面馆', '其他小吃']"
E2969567678234688853,伊斯兰面馆,['烧烤']
E3636111035707285050,小确茶(万达店),"['奶茶果汁', '盖浇饭']"
E7999112931636011262,鱼滋鱼味烤全鱼,"['麻辣烫', '其他香锅火锅']"
E16977656806263453727,嘟嘟小吃店（大学城北市场店）,['炸鸡炸串']
E3909852908430090827,纯蜀遇见你(常青藤店),"['其他小吃', '其他快餐']"
E17484114578906239292,大辫麻辣串串香,"['串串香', '烧烤']"
E3878997737209163085,凡凡黄焖鸡米饭,['黄焖鸡米饭']
E6133860465600684186,帅莹香辣虾,"['其他香锅火锅', '其他快餐']"
E3852124600883283204,丰乐居家菜馆,['其他快餐']
E13904997268781648716,大志重庆小面（牌坊街店）,"['重庆小面', '其他快餐']"
E3882280023097455519,鸿龙花甲(师大店),['花甲']
E15805791496504321236,重庆牛肉面老三烧烤店,"['烧烤', '重庆小面']"
E4381058439555950124,琴佑滋补烩面,"['其他快餐', '盖浇饭']"
E119175657463705450,陈记猪蹄老汤烩饼,['其他快餐']
E17916860568618522401,来自星星的炸鸡(南干道店),"['其他快餐', '盖浇饭']"
E17564547491202718063,天下又一面,"['面馆', '河南菜']"
E13944256811011780282,谁的咖啡（公园国际店）,"['其他西餐', '咖啡']"
E2522081830073217299,聚缘食府,"['其他快餐', '川湘菜']"
E7924360334705475456,锅来了,['其他小吃']
E5392613107535664901,古色鱼乡(丰华街店),"['其他香锅火锅', '海鲜']"
E3833558394786116276,海底捞大火锅（宝龙广场店）,"['川渝火锅', '其他香锅火锅']"
E3991989714872049159,马记牛肉汤烧烤,"['牛肉汤', '烧烤']"
E692337541350796520,郏县饸络面,['其他快餐']
E7228663590345715597,懂你鲜花（金穗大道店）,['鲜花']
E7755293810267585619,恒明泰大药房（紫郡小区店）,['药店']
E1194703154613886943,青青果园,['水果']
E11468796426421026501,新鲜果蔬,['水果']
E648529032742195376,明大姐果蔬,['水果']
E11864188608775921610,悦邻果蔬店,"['水果', '蔬菜豆品']"
E14941568698864715983,陌上花开(平原路鲜花店),['鲜花']
E6448083724265876477,遇见洛伊之恋,"['奶茶果汁', '甜品']"
E17353476558745292001,米老大(新乡店),['其他快餐']
E593476803828036506,叫了只炸鸡,"['炸鸡炸串', '奶茶果汁']"
E9934030577959229596,御膳叉骨炸鸡,"['炸鸡炸串', '其他甜品饮品']"
E2238989537282922386,十里粥仓,['粥店']
E2662468423358354726,脆皮烤肉饭,"['烤肉拌饭', '其他小吃']"
E2724364500290721286,叫了只炸鸡(新乡店),"['炸鸡炸串', '其他小吃']"
E6196676295343354387,猛男炸鸡饭,"['其他快餐', '盖浇饭']"
E7203849530612720215,小木船烤冷面,['烤冷面']
E6913740593673996832,王的烤肉范(大东区店),"['其他快餐', '炸鸡炸串']"
E1353223899519393804,刘记叫花鸡烧烤卤肉,"['烧烤', '烤鸭熟食']"
E7270327376769375252,锡纸很嗨,"['花甲', '其他小吃']"
E10941257587214328310,炸鸡队长(大学城店),['炸鸡炸串']
E3612935445409294587,米知味(大学城店),"['川湘菜', '其他香锅火锅']"
E4296442316386244474,小宋花甲龙虾烧烤卤肉饭(卤肉饭龙虾烧烤店),"['花甲', '烧烤']"
E10662018122612150474,蔬果园（宝龙龙邸店）,['水果']
E15131896742779165759,干拌冒菜,['冒菜']
E10931779244228262405,张小麻辣拌儿,"['其他快餐', '麻辣烫']"
E16840644884833187657,摇滚炒鸡(宝龙店),"['川湘菜', '盖浇饭']"
E8253728708590461223,尚品斋黄焖鸡米饭,['炸鸡炸串']
E16661977265943290971,华莱士炸鸡汉堡(新乡宝龙店),"['汉堡薯条', '其他西餐']"
E4886164949855940726,饭爷扣碗居(大东区店),"['其他快餐', '其他小吃']"
E3740051745890428734,桂林米粉,['米粉米线']
E17574205409791610758,世创正新鸡排,"['汉堡薯条', '炸鸡炸串']"
E7982482722630463158,一步到味,['盖浇饭']
