债券简称,债券代码,正股代码,上市时间,现价,今开,振幅,最高,最低,昨收,成交量,成交额
建工转债,110064,733939,2019-12-20T00:00:00,114.07,114.1,58.0%,114.65,113.99,113.95,9980,11405217.0
振德转债,113555,754301,2019-12-19T00:00:00,174.23,184.21,795.0%,184.75,170.21,182.96,228567,403303984.0
新莱转债,123037,370260,2019-12-19T00:00:00,1360.99,1460.0,1251.0%,1526.8,1347.0,1436.7,610092,885216544.0
森特转债,113557,754098,2019-12-19T00:00:00,112.4,115.0,370.0%,116.48,112.32,112.47,56308,64399703.0
国轩转债,128086,072074,2019-12-17T00:00:00,1633.0,1600.14,785.0%,1709.0,1583.8,1595.8,1684130,2777000224.0
孚日转债,128087,072083,2019-12-17T00:00:00,1308.5,1290.2,767.0%,1379.9,1281.01,1289.5,418226,558810544.0
明阳转债,113029,783615,2019-12-16T00:00:00,114.47,114.71,92.0%,115.17,114.11,114.71,8350,9561761.0
木森转债,128084,072745,2019-12-16T00:00:00,1156.0,1165.9,90.0%,1166.5,1156.0,1165.0,12248,14222362.0
仙鹤转债,113554,754733,2019-12-16T00:00:00,123.02,124.51,232.0%,125.9,123.01,124.69,9572,11873579.0
鸿达转债,128085,072002,2019-12-16T00:00:00,1107.01,1120.0,363.0%,1146.6,1106.35,1108.99,83040,93437361.0
金牌转债,113553,754180,2019-12-13T00:00:00,120.58,120.93,101.0%,121.22,120.0,120.73,2018,2431282.0
鹰19转债,110063,733567,2019-12-13T00:00:00,113.7,113.46,21.0%,113.7,113.46,113.7,5055,5738880.0
新北转债,128083,072376,2019-12-12T00:00:00,1158.85,1150.06,216.0%,1175.0,1150.02,1155.16,12838,14888327.0
先导转债,123036,370450,2019-12-11T00:00:00,1333.0,1329.63,421.0%,1381.8,1326.01,1325.2,16553,22275213.0
华锋转债,128082,072806,2019-12-04T00:00:00,1104.04,1117.95,152.0%,1120.0,1103.0,1115.06,8910,9898542.0
烽火转债,110062,733498,2019-12-02T00:00:00,141.68,144.8,381.0%,145.0,139.52,143.81,56728,80795072.0
克来转债,113552,754960,2019-12-02T00:00:00,124.21,126.66,263.0%,127.0,123.68,126.13,21500,27026036.0
海亮转债,128081,072203,2019-11-21T00:00:00,1104.51,1108.51,71.0%,1108.99,1101.12,1108.51,8626,9535158.0
顺丰转债,128080,072352,2019-11-18T00:00:00,1301.0,1314.5,118.0%,1316.5,1301.0,1318.0,108727,142211750.0
常汽转债,113550,754035,2019-11-18T00:00:00,123.87,125.7,240.0%,126.46,123.44,125.7,13955,17334456.0
福特转债,113551,754806,2019-11-18T00:00:00,125.01,127.73,269.0%,127.73,124.3,127.7,27605,34557430.0
白电转债,113549,754861,2019-11-15T00:00:00,115.71,116.51,124.0%,116.96,115.51,116.57,3801,4405789.0
利德转债,123035,370296,2019-11-14T00:00:00,1158.2,1167.7,84.0%,1167.8,1158.05,1164.2,6984,8098918.0
川投转债,110061,733674,2019-11-11T00:00:00,115.7,115.46,115.0%,116.79,115.46,115.67,4221,4889853.0
通光转债,123034,370265,2019-11-04T00:00:00,1563.5,1680.0,1293.0%,1767.0,1552.2,1661.01,1464961,2462337392.0
金力转债,123033,370748,2019-11-01T00:00:00,1107.99,1118.12,177.0%,1122.9,1103.1,1117.0,14921,16611185.0
