债券简称,债券代码,正股代码,上市时间,现价,今开,振幅,最高,最低,昨收,成交量,成交额
康泰转债,123008,370601,2018-02-01T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
无锡转债,110043,733908,2018-01-30T00:00:00,108.73,108.52,33.0%,108.88,108.52,108.73,10360,11268551.0
江银转债,128034,072807,2018-01-26T00:00:00,1098.81,1102.53,49.0%,1102.53,1097.11,1101.43,6036,6631758.0
常熟转债,113018,783128,2018-01-19T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
道氏转债,123007,370409,2017-12-28T00:00:00,1100.0,1127.0,281.0%,1127.0,1095.5,1122.0,12694,14075163.0
吉视转债,113017,783929,2017-12-27T00:00:00,104.74,104.85,42.0%,105.04,104.6,104.85,5147,5391412.0
迪龙转债,128033,072658,2017-12-27T00:00:00,1048.75,1051.9,46.0%,1052.45,1047.66,1050.7,1608,1687076.0
航电转债,110042,733372,2017-12-25T00:00:00,120.24,119.25,149.0%,120.87,119.1,119.05,21517,25747171.0
双环转债,128032,072472,2017-12-25T00:00:00,1032.7,1036.5,169.0%,1048.5,1031.0,1036.0,117494,122143049.0
天康转债,128030,072100,2017-12-22T00:00:00,2500.0,2500.09,1702.0%,2835.98,2428.16,2396.1,2598240,6877247744.0
蒙电转债,110041,733863,2017-12-22T00:00:00,114.98,114.75,77.0%,115.38,114.5,114.69,3789,4352404.0
太阳转债,128029,072078,2017-12-22T00:00:00,1220.0,1223.0,110.0%,1228.88,1215.5,1219.8,3782,4611826.0
赣锋转债,128028,072460,2017-12-21T00:00:00,1278.5,1278.0,1811.0%,1500.04,1270.0,1270.0,648073,877322400.0
东财转债,123006,370059,2017-12-20T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
万信转债,123005,370168,2017-12-19T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
铁汉转债,123004,370197,2017-12-18T00:00:00,1081.1,1089.9,127.0%,1089.9,1076.06,1088.89,10565,11418816.0
崇达转债,128027,072815,2017-12-15T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
泰晶转债,113503,754738,2017-12-15T00:00:00,323.54,358.68,1237.0%,362.9,319.06,354.49,144000,496806096.0
众兴转债,128026,072772,2017-12-13T00:00:00,1012.46,1015.48,68.0%,1017.99,1011.13,1015.48,22042,22347276.0
蓝思转债,123003,370433,2017-12-08T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
特一转债,128025,072728,2017-12-06T00:00:00,1152.81,1165.92,172.0%,1170.0,1150.0,1162.22,14658,16963548.0
宁行转债,128024,072142,2017-12-05T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
亚太转债,128023,072284,2017-12-04T00:00:00,1003.49,1009.03,68.0%,1009.5,1002.61,1009.03,4027,4052139.0
众信转债,128022,072707,2017-12-01T00:00:00,1049.9,1052.8,257.0%,1077.0,1049.9,1053.4,22134,23506335.0
兄弟转债,128021,072562,2017-11-28T00:00:00,1215.0,1235.0,205.0%,1236.79,1211.52,1235.0,8341,10194159.0
国祯转债,123002,370388,2017-11-24T00:00:00,1262.0,1287.0,266.0%,1291.97,1258.03,1276.6,11250,14293689.0
生益转债,110040,733183,2017-11-24T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
水晶转债,128020,072273,2017-11-17T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
宝信转债,110039,733845,2017-11-17T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
济川转债,110038,733566,2017-11-13T00:00:00,114.77,115.34,176.0%,115.54,113.51,115.34,973,1118813.0
嘉澳转债,113502,754822,2017-11-10T00:00:00,107.84,110.38,469.0%,111.99,106.81,110.38,7935,8679877.0
久立转2,128019,072318,2017-11-08T00:00:00,1170.0,1167.0,117.0%,1179.97,1166.3,1166.25,17477,20453990.0
小康转债,113016,783127,2017-11-06T00:00:00,101.86,102.09,85.0%,102.49,101.62,102.09,2628,2681649.0
时达转债,128018,072527,2017-11-06T00:00:00,1046.96,1051.01,216.0%,1057.68,1035.0,1050.99,8894,9275315.0
隆基转债,113015,783012,2017-11-02T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
金禾转债,128017,072597,2017-11-01T00:00:00,1219.16,1222.0,463.0%,1263.3,1206.7,1223.22,9031,11196011.0
林洋转债,113014,783222,2017-10-27T00:00:00,105.3,105.12,92.0%,106.0,105.03,105.02,11740,12399116.0
雨虹转债,128016,072271,2017-09-25T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
国君转债,113013,783211,2017-07-07T00:00:00,117.95,118.2,46.0%,118.24,117.7,117.97,16143,19032206.0
久其转债,128015,072279,2017-06-08T00:00:00,1041.5,1044.86,86.0%,1049.99,1041.0,1044.82,46801,48894054.0
模塑转债,127004,070700,2017-06-02T00:00:00,380.0,0.0,0.0%,0.0,0.0,380.0,0,0.0
永东转债,128014,072753,2017-04-17T00:00:00,1043.79,1051.1,143.0%,1055.0,1040.0,1051.1,2236,2341077.0
骆驼转债,113012,783311,2017-03-24T00:00:00,107.81,108.19,304.0%,111.0,107.71,108.19,2207,2400461.0
光大转债,113011,783818,2017-03-17T00:00:00,115.77,115.91,33.0%,116.05,115.67,115.93,30257,35041296.0
洪涛转债,128013,072325,2016-07-29T00:00:00,1026.81,1030.03,50.0%,1031.39,1026.2,1030.01,13637,14025309.0
海印转债,127003,070861,2016-06-08T00:00:00,1120.6,1134.0,193.0%,1139.84,1118.0,1133.6,9795,11049218.0
辉丰转债,128012,072496,2016-04-21T00:00:00,1000.8,1000.58,12.0%,1001.0,999.75,1000.6,10491,10495497.0
江南转债,113010,783199,2016-03-18T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
汽模转债,128011,072510,2016-03-02T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
白云转债,110035,733004,2016-02-26T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
顺昌转债,128010,072245,2016-01-22T00:00:00,1069.5,1065.41,61.0%,1071.89,1065.37,1065.39,4008,4285619.0
广汽转债,113009,783238,2016-01-22T00:00:00,113.68,113.1,70.0%,113.89,113.1,113.62,1700,1928031.0
九州转债,110034,733998,2016-01-15T00:00:00,123.77,125.09,344.0%,125.82,121.52,125.09,24086,29915826.0
国贸转债,110033,733755,2016-01-05T00:00:00,111.78,111.71,30.0%,111.97,111.63,111.95,2400,2682763.0
三一转债,110032,733031,2016-01-04T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
蓝标转债,123001,370058,2015-12-18T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
航信转债,110031,733271,2015-06-12T00:00:00,117.59,119.9,245.0%,119.9,117.0,118.46,1098,1298599.0
电气转债,113008,783727,2015-02-02T00:00:00,111.93,112.0,47.0%,112.13,111.6,111.99,19835,22185207.0
格力转债,110030,733185,2014-12-25T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
歌尔转债,128009,072241,2014-12-12T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
洛钼转债,113501,754993,2014-12-02T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
浙能转债,110029,733023,2014-10-13T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
齐峰转债,128008,072521,2014-09-15T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
吉视转债,113007,783929,2014-09-05T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
通鼎转债,128007,072491,2014-08-15T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
冠城转债,110028,733067,2014-07-18T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
东方转债,110027,733875,2014-07-10T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
长青转债,128006,072391,2014-06-20T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
国金转债,110025,733109,2014-05-14T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
齐翔转债,128005,072408,2014-04-18T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
久立转债,128004,072318,2014-02-25T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
深燃转债,113006,783139,2013-12-13T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
平安转债,113005,783318,2013-11-22T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
徐工转债,127002,070425,2013-10-25T00:00:00,1012.5,0.0,0.0%,0.0,0.0,1012.5,0,0.0
隧道转债,110024,733820,2013-09-13T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
华天转债,128003,072185,2013-08-12T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
东华转债,128002,072065,2013-07-26T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
民生转债,110023,733016,2013-03-15T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
泰尔转债,128001,072347,2013-01-09T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
海直转债,127001,070099,2012-12-19T00:00:00,1000.0,0.0,0.0%,0.0,0.0,1000.0,0,0.0
同仁转债,110022,733085,2012-12-04T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
南山转债,110020,733219,2012-10-16T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
重工转债,113003,783989,2012-06-04T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
恒丰转债,110019,733356,2012-03-23T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
国电转债,110018,733795,2011-08-19T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
中海转债,110017,733026,2011-08-01T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
巨轮转2,129031,072031,2011-07-19T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
深机转债,125089,070089,2011-07-15T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
川投转债,110016,733674,2011-03-21T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
石化转债,110015,733028,2011-02-23T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
中鼎转债,125887,070887,2011-02-11T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
国投转债,110013,733886,2011-01-25T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
海运转债,110012,733798,2011-01-07T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
歌华转债,110011,733037,2010-11-25T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
燕京转债,126729,070729,2010-10-15T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
工行转债,113002,783398,2010-08-31T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
塔牌转债,128233,072233,2010-08-26T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
铜陵转债,126630,070630,2010-07-15T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
中行转债,113001,783988,2010-06-02T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
美丰转债,125731,070731,2010-06-02T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
双良转债,110009,733481,2010-05-04T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
王府转债,110008,733859,2009-10-19T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
博汇转债,110007,733966,2009-09-23T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
安泰转债,125969,070969,2009-09-16T00:00:00,0.0,0.0,0,0.0,0.0,0.0,0,0.0
龙盛转债,110006,733352,2009-09-14T00:00:00,0,0,0,0,0,0,0,0
西洋转债,110005,733558,2009-09-03T00:00:00,0,0,0,0,0,0,0,0
厦工转债,110004,733815,2009-08-28T00:00:00,0,0,0,0,0,0,0,0
09长虹债,126019,733839,2009-07-31T00:00:00,0,0,0,0,0,0,0,0
08江铜债,126018,733362,2008-09-22T00:00:00,0,0,0,0,0,0,0,0
新钢转债,110003,733782,2008-08-21T00:00:00,0,0,0,0,0,0,0,0
08葛洲债,126017,733068,2008-06-26T00:00:00,0,0,0,0,0,0,0,0
08宝钢债,126016,733019,2008-06-20T00:00:00,0,0,0,0,0,0,0,0
08康美债,126015,733518,2008-05-08T00:00:00,0,0,0,0,0,0,0,0
08国电债,126014,733795,2008-05-07T00:00:00,0,0,0,0,0,0,0,0
南山转债,110002,733219,2008-04-18T00:00:00,0,0,0,0,0,0,0,0
柳工转债,125528,070528,2008-04-18T00:00:00,0,0,0,0,0,0,0,0
08青啤债,126013,733600,2008-04-02T00:00:00,0,0,0,0,0,0,0,0
五洲转债,110368,733368,2008-02-29T00:00:00,0,0,0,0,0,0,0,0
08上港债,126012,733018,2008-02-20T00:00:00,0,0,0,0,0,0,0,0
08石化债,126011,733028,2008-02-20T00:00:00,0,0,0,0,0,0,0,0
中兴债1,115003,070063,2008-01-30T00:00:00,0,0,0,0,0,0,0,0
08赣粤债,126009,733269,2008-01-28T00:00:00,0,0,0,0,0,0,0,0
08中远债,126010,733428,2008-01-28T00:00:00,0,0,0,0,0,0,0,0
海马转债,125572,070572,2008-01-16T00:00:00,0,0,0,0,0,0,0,0
08上汽债,126008,733104,2007-12-19T00:00:00,0,0,0,0,0,0,0,0
大荒转债,110598,733598,2007-12-19T00:00:00,0,0,0,0,0,0,0,0
唐钢转债,125709,070709,2007-12-14T00:00:00,0,0,0,0,0,0,0,0
07日照债,126007,733017,2007-11-27T00:00:00,0,0,0,0,0,0,0,0
赤化转债,110227,733227,2007-10-10T00:00:00,0,0,0,0,0,0,0,0
07深高债,126006,733548,2007-10-09T00:00:00,0,0,0,0,0,0,0,0
恒源转债,110971,733971,2007-09-24T00:00:00,0,0,0,0,0,0,0,0
山鹰转债,110567,733567,2007-09-05T00:00:00,0,0,0,0,0,0,0,0
中海转债,110026,733026,2007-07-02T00:00:00,0,0,0,0,0,0,0,0
