address,advantage,area,city,education,formatCreateTime,industry,industryLables,label,link,pompany_name,position_detail,position_id,position_name,salary,size,stage,work_year
,六险一金，弹性工作，免费三餐，租房补贴,海淀区,北京,本科,1天前发布,文娱丨内容,[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",不存在,北京字节跳动科技有限公司,https://www.lagou.com/jobs/6153536.html,6153536,数据挖掘资深工程师-广告数据智能,30k-60k,2000人以上,C轮,3-5年
['张江'],发展空间大，非996，15到20薪,浦东新区,上海,本科,1天前发布,文娱丨内容,"['移动互联网', '数据挖掘', '数据分析', '算法']","['专项奖金', '带薪年假', '弹性工作', '管理规范']",不存在,上海基分文化传播有限公司,https://www.lagou.com/jobs/6156086.html,6156086,资深数据挖掘/算法/机器学习,30k-60k,500-2000人,上市公司,5-10年
,部门技术能力 薪酬福利,高新区,合肥,本科,1天前发布,"移动互联网,数据服务","['大数据', '算法', '数据挖掘']","['绩效奖金', '股票期权', '专项奖金', '年底双薪']",不存在,科大讯飞股份有限公司,https://www.lagou.com/jobs/6157539.html,6157539,数据挖掘算法工程师,15k-25k,2000人以上,上市公司,3-5年
,"工作环境佳,平台大,周末双休",南山区,深圳,本科,2019-07-10,"社交,消费生活",[],"['发展上升型', '朝阳行业', '创业氛围浓厚', '年终分红']",不存在,深圳市珍爱网信息技术有限公司,https://www.lagou.com/jobs/6137152.html,6137152,数据挖掘算法工程师（2020珍爱秋季校园招聘）,15k-25k,2000人以上,不需要融资,应届毕业生
['西溪'],年底多薪 股票期权 节日福利 五险一金,西湖区,杭州,本科,2019-07-12,"数据服务,移动互联网","['大数据', '金融', '数据分析']","['股票期权', '带薪年假', '岗位晋升', '阿里大牛']",不存在,杭州魔蝎数据科技有限公司,https://www.lagou.com/jobs/2268858.html,2268858,数据挖掘,15k-30k,50-150人,B轮,3-5年
,"五险一金,带薪年假,定期体检,节日福利",福田区,深圳,硕士,00:00发布,金融,[],"['绩效奖金 ', '五险一金 ', '带薪年假 ', '年度旅游 ']",不存在,中国平安财产保险股份有限公司,https://www.lagou.com/jobs/6044925.html,6044925,0322Y4-数据挖掘岗,16k-32k,2000人以上,上市公司,3-5年
"['西溪', '古墩路', '古墩路']",独角兽企业；不打卡；打车免费,西湖区,杭州,本科,1天前发布,"移动互联网,硬件","['移动互联网', '智能硬件']","['5星办公环境', '年底奖金', '团队牛B', '五险一金']",不存在,杭州涂鸦信息技术有限公司,https://www.lagou.com/jobs/6031748.html,6031748,数据挖掘算法工程师,16k-32k,500-2000人,C轮,5-10年
,"大数据AI,期权激励,五险一金,带薪年假",番禺区,广州,本科,1天前发布,"数据服务,企业服务","['移动互联网', '大数据', '数据挖掘']","['B2B销售', '精准营销', '大数据', '人工智能']",不存在,广州探迹科技有限公司,https://www.lagou.com/jobs/5683537.html,5683537,数据挖掘工程师,10k-20k,150-500人,A轮,1-3年
"['西兴', '长河']","周末双休,福利好",滨江区,杭州,本科,1天前发布,"移动互联网,金融","['借贷', '互联网金融', '数据挖掘', '数据分析', '数据处理', '数据仓库']","['股票期权', '带薪年假', '弹性工作', '交通补助']",不存在,浙江霖梓控股有限公司,https://www.lagou.com/jobs/6020494.html,6020494,数据挖掘工程师,10k-20k,150-500人,B轮,1-3年
"['西乡', '新安']","待遇优厚,成长空间大,弹性上班,下午茶",宝安区,深圳,本科,1天前发布,移动互联网,[],"['股票期权', '定期体检', '下午茶', '年度旅游']",不存在,深圳小步网络科技有限公司,https://www.lagou.com/jobs/4331772.html,4331772,数据挖掘工程师（推荐方向）,20k-40k,150-500人,B轮,3-5年
['古墩路'],五险一金 发展前景 工作氛围好,拱墅区,杭州,硕士,2019-07-09,移动互联网,[],"['带薪年假', '扁平管理', '五险一金', '岗位晋升']",不存在,杭州十尾网络科技有限公司,https://www.lagou.com/jobs/5918622.html,5918622,数据挖掘,8k-12k,50-150人,天使轮,1-3年
"['深圳湾', '后海', '科技园']","准上市,待遇好,前景好,弹性工作",南山区,深圳,本科,1天前发布,"移动互联网,电商","['大数据', '数据分析', '数据运营']",[],不存在,深圳市世纪华凯实业有限公司,https://www.lagou.com/jobs/4964164.html,4964164,数据挖掘工程师,25k-40k,150-500人,不需要融资,3-5年
,上市公司、技术氛围好、弹性工作制,南山区,深圳,本科,2019-07-11,企业服务,[],"['五险一金', '文体活动', '团建旅游', '美味晚餐']",不存在,深圳市和讯华谷信息技术有限公司,https://www.lagou.com/jobs/4673011.html,4673011,数据挖掘工程师,15k-30k,500-2000人,上市公司,1-3年
"['深圳湾', '后海', '科技园']","奖金/期权,薪资优渥,社交大咖",南山区,深圳,本科,1天前发布,"移动互联网,社交",[],"['股票期权', '交通补助', '扁平管理', '领导好']",不存在,武汉市追忆那年网络科技有限公司,https://www.lagou.com/jobs/6139400.html,6139400,数据挖掘,15k-20k,50-150人,B轮,3-5年
,扁平化管理，团队nice,朝阳区,北京,本科,1天前发布,"移动互联网,数据服务",[],"['带薪年假', '年底双薪', '弹性工作', '节日礼物']",不存在,北京源梦伟业网络科技有限公司,https://www.lagou.com/jobs/6027482.html,6027482,数据挖掘,25k-50k,50-150人,未融资,3-5年
['曹杨'],绩效、补充公积金,普陀区,上海,大专,1天前发布,"移动互联网,数据服务",[],"['绩效奖金', '带薪年假', '补充公积金', '年底双薪']",不存在,上海联元智能科技有限公司,https://www.lagou.com/jobs/5422722.html,5422722,数据挖掘,15k-30k,50-150人,A轮,3-5年
['张江'],"移动金融,未来金矿,精英团队,助力成长",浦东新区,上海,本科,1天前发布,金融,[],"['股票期权', '通讯津贴', '交通补助', '午餐补助']",不存在,上海数禾信息科技有限公司,https://www.lagou.com/jobs/5876962.html,5876962,数据挖掘,30k-50k,500-2000人,B轮,5-10年
,"大牛多,氛围佳,环境好",荔湾区,广州,本科,1天前发布,医疗丨健康,"['医疗健康', '大数据', '算法', '数据挖掘']","['绩效奖金', '带薪年假', '班车接送', '公寓住宿']",不存在,绿瘦健康产业集团有限公司,https://www.lagou.com/jobs/5871168.html,5871168,数据挖掘工程师,20k-30k,2000人以上,不需要融资,5-10年
,"发展空间大,团队氛围好,股票期权",南山区,深圳,本科,1天前发布,"移动互联网,企业服务",[],"['高成长性', '弹性工作', '股票期权', '零食自取']",不存在,深圳市前海房极客网络科技有限公司,https://www.lagou.com/jobs/4941465.html,4941465,数据挖掘工程师,12k-20k,150-500人,B轮,1-3年
"['虹梅路', '漕宝路', '漕河泾']",AI行业独角兽，福利待遇好，弹性工作,徐汇区,上海,硕士,2019-07-08,人工智能,[],"['五险一金', '弹性工作', '丰盛三餐', '发展空间大']",不存在,北京市商汤科技开发有限公司,https://www.lagou.com/jobs/5526284.html,5526284,数据挖掘工程师,20k-40k,2000人以上,C轮,1-3年
