,债券简称,正股代码,上市时间,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比
210,再升转债,603601,2018-07-13T00:00:00,603601,再升科技,13.67,6.43%,0.77,424298,580016416.0,6.43%,14.08,13.25,13.42,12.9,1.79
211,华通转债,2758,2018-07-13T00:00:00,2758,华通医药,10.89,3.48%,-0.31,26847,29640093.0,3.48%,11.24,10.85,11.2,11.2,1.77
212,新泉转债,603179,2018-06-22T00:00:00,603179,新泉股份,24.71,2.91%,0.3,23022,56848167.0,2.91%,25.0,24.29,24.41,24.41,3.03
213,天马转债,603668,2018-05-07T00:00:00,603668,天马科技,11.38,3.43%,0.01,51697,58971825.0,3.43%,11.61,11.22,11.35,11.37,0.97
214,鼎信转债,603421,2018-05-14T00:00:00,603421,鼎信通讯,15.22,3.53%,-0.35,24936,38259589.0,3.53%,15.74,15.19,15.6,15.57,2.21
215,利欧转债,2131,2018-04-19T00:00:00,2131,利欧股份,3.8,4.08%,-0.12,992545,380430416.0,4.08%,3.94,3.78,3.92,3.92,0.91
216,利欧转债,2131,2018-04-19T00:00:00,2131,利欧股份,3.79,4.08%,-0.13,992846,380544784.0,4.08%,3.94,3.78,3.92,3.92,0.91
217,敖东转债,623,2018-05-11T00:00:00,623,吉林敖东,16.01,1.26%,0.1,64342,103398508.0,1.26%,16.16,15.96,15.98,15.91,1.65
218,长证转债,783,2018-04-11T00:00:00,783,长江证券,6.29,0.95%,-0.03,65482,41206595.0,0.95%,6.33,6.27,6.33,6.32,0.57
219,长证转债,783,2018-04-11T00:00:00,783,长江证券,6.28,0.95%,-0.04,67024,42174815.0,0.95%,6.33,6.27,6.33,6.32,0.58
220,长证转债,783,2018-04-11T00:00:00,783,长江证券,6.28,0.95%,-0.04,67024,42174815.0,0.95%,6.33,6.27,6.33,6.32,0.58
221,金农转债,2548,2018-04-02T00:00:00,2548,金新农,11.24,10.11%,0.66,333286,367686912.0,10.11%,11.57,10.5,10.59,10.58,3.26
222,星源转债,300568,2018-04-10T00:00:00,300568,星源材质,28.34,2.09%,-0.3,14982,42825010.0,2.09%,28.9,28.3,28.68,28.64,0.52
223,艾华转债,603989,2018-03-23T00:00:00,603989,艾华集团,25.48,2.64%,0.13,15177,38274788.0,2.64%,25.58,24.91,25.33,25.35,1.83
224,玲珑转债,601966,2018-03-22T00:00:00,601966,玲珑轮胎,21.22,2.71%,-0.18,21009,44865548.0,2.71%,21.7,21.12,21.49,21.4,0.88
225,大族转债,2008,2018-03-05T00:00:00,2008,大族激光,29.16,2.54%,-0.34,57641,168895842.0,2.54%,29.8,29.05,29.7,29.5,0.95
226,康泰转债,300601,2018-03-19T00:00:00,300601,康泰生物,132.8,4.1%,1.2,22139,295421824.0,4.1%,135.6,130.2,130.91,131.6,1.53
227,无锡转债,600908,2018-03-14T00:00:00,600908,无锡银行,4.98,0.6%,0.0,29277,14577584.0,0.6%,4.99,4.96,4.98,4.98,0.91
228,无锡转债,600908,2018-03-14T00:00:00,600908,无锡银行,4.97,0.6%,-0.01,29285,14581566.0,0.6%,4.99,4.96,4.98,4.98,0.9
