,con,hot,id,name,room
79,星际争霸,57.2万,/3484,scboy,不因为走太远，忘记为什么出发！
80,绝地求生,56.8万,/88883,OMG小狮子lionkk,官P有没有大哥抬一手
81,颜值,56.3万,/54779,大姨妈阿阿,认证号，12点后破纪录千元红包
82,舞蹈,55.2万,/968987,南妹儿呀,无千语：我会在你身边你左右。
83,颜值,53.9万,/5439973,南雁翎,今日孤独下棋
84,舞蹈,53.6万,/4381982,你们伟大的灵哥,鸡王的直播间 10029
85,颜值,53.4万,/56789,白菜mm丶,带水友上分。嗯嗯
86,一起看,53.3万,/747764,伊太刀刀,草莓：云顶之弈 分享一些游戏经验~
87,舞蹈,52.9万,/5273755,小安韵baby,我回来了，么么哒
88,颜值,52.5万,/6513113,芭比狸,水下视角抓大货。
89,乡野,52.1万,/16228,微山湖捕鱼武工队,18:00 ROG夏季赛，TIME登场
90,舞蹈,51.6万,/52011,米儿啊i,把枪交给谢尔k
91,王者荣耀,51万,/1918013,苏打锋,七月不再鸽
92,颜值,48.6万,/184972,ZA红牛,长腿170会跳舞的模特妹妹呀
93,绝地求生,48.6万,/2448877,20岁天才歌手Running,我一直在等你 5439973
94,DOTA2,48.3万,/97389,ctyzzz,8月你好 灵哥更好 爱你们！！！
95,DNF,47.8万,/5303276,DNF白手温柔,总有些惊喜的际遇
96,绝地求生,47.4万,/88885,OMG小海,【女神金】今晚9点PK 大家记得来哦！
97,炉石传说,47.4万,/700,七哥张琪格,你被小妖精盯上了！就是你！
98,二次元,46.2万,/1010383,王羽杉Barbieshy,要黄牌牌 橙牌牌 红牌牌 紫牌牌~~
99,王者荣耀,46万,/36252,MrGemini,下雨了怎么办？
100,绝地求生,45.6万,/20360,Pc冷冷,哥哥 进来嘛？
101,颜值,44.9万,/1854725,林cute,无敌疾跑关羽
102,王者荣耀,44.7万,/1144379,雷婷丶,牛家村:八月 加油!
103,三国杀,44.6万,/160504,丶砍你焉用菜刀,NO 1 硬哥哥 又营业了
104,60秒,44.5万,/703747,主播杨树,勤奋中单教学
105,英雄联盟,44.3万,/7084089,童扬korol丶,莫得标题的直播间
106,跑跑手游,44.2万,/1343997,比比会bb,OMG小海:吹最狠的牛，挨最毒得打
107,自走棋,44万,/25515,秋日丶,8月对我好一点
108,户外,43.7万,/607575,混血超模武田华恋,啦！啦！啦！
109,王者荣耀,43.4万,/6584927,刘皇叔是个弟弟,Gemini：1800巅峰赛教学！躺皇
110,和平精英,43.1万,/1557274,小妖洋,【冷冷】《来访者2》办案了冷警官！
111,户外,42.5万,/517927,户外王总,生日快乐 to 小林
112,美食,42.5万,/370482,梦蝶小公举丶,技术女主播嘻嘻嘻~
113,英雄联盟,42.2万,/168000,小猪是超级大帅Bi,每日抽奖上千元！中午抽大的！
114,CS:GO,42万,/63136,椰汁糕冬瓜强,周三正常休息
115,CF手游,42万,/868191,CF手游官方直播间,云顶之弈双雄决战
116,英雄联盟,41.6万,/233233,余霜Yscandice,bb：今晚12点办卡抽绯红尖峰！
117,二次元,41.4万,/4624967,腐团儿,搞起来咧啊
118,和平精英,41.1万,/3284257,罩城主,4000发大型野外花火大会
